image_path,label,class_name,dataset,source,generator,original_split,width,height,content_hash,split
data/raw/CIFAKE/train/REAL/3694 (9).jpg,0,real,cifake,cifake,unknown,train,32,32,9ccc24961a8a5fc3b265a7e11d2962eefbece76c8894ab5649cae8fc63616496,train
data/raw/CIFAKE/train/REAL/1298 (9).jpg,0,real,cifake,cifake,unknown,train,32,32,2b7bd04884a8067757bd841fc3fbc932469b0c51e4d1215b9cbe2d69dbf760f7,train
data/raw/CIFAKE/train/REAL/1859 (10).jpg,0,real,cifake,cifake,unknown,train,32,32,1b019f1f7bf07aae72a2e62359c6bef33c5f62b285b1dcb38eda161b93266c47,train
data/raw/CIFAKE/train/FAKE/2271 (9).jpg,1,fake,cifake,cifake,unknown,train,32,32,f095a840581aa1063bd0480760f1c33e61ff80246d4427ba8ea282e4631dd678,train
data/raw/CIFAKE/train/REAL/2778 (6).jpg,0,real,cifake,cifake,unknown,train,32,32,7671d7cf74729b9181731f4b3888f21e8f147ffc0e1d3d5883766f24ab61ceae,train
data/raw/CIFAKE/train/FAKE/5305 (4).jpg,1,fake,cifake,cifake,unknown,train,32,32,14dd7b84ef26d50e8f0957cd7561052b7066c44c052ddcb11f865d65823d8572,train
data/raw/CIFAKE/train/FAKE/1098 (4).jpg,1,fake,cifake,cifake,unknown,train,32,32,63d9dd61365f1ad4c19dd46f533f69e0d7a471f1b682e17094b58fcfce4bde58,train
data/raw/CIFAKE/train/FAKE/3782 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,67611b3b60c71f0ee1f3f1ab22a2ef26c5cf3138821258bc3d840e70fc5e3f01,train
data/raw/CIFAKE/train/REAL/3553.jpg,0,real,cifake,cifake,unknown,train,32,32,e42a53c14e1ac934b5a5e55c6b3617e1a2ee36f95b4cd67e1edc0dc447f3778c,train
data/raw/CIFAKE/train/FAKE/1128 (8).jpg,1,fake,cifake,cifake,unknown,train,32,32,d073b68c4fe6ad807e4ff0fe4f250fc525e21c58a4c62aa7911afbbc2d1b5010,train
data/raw/CIFAKE/train/FAKE/4454 (2).jpg,1,fake,cifake,cifake,unknown,train,32,32,ff5a06a69b0893be5e3fa1d26ffdb21a87904efe97bbc78e691b2c1cf9b8fbf5,train
data/raw/CIFAKE/train/FAKE/5979 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,0c2081b4e218325215ea441fb4ff52e4fd7a57fe3d16ffe49d391bfc1c65e6d6,train
data/raw/CIFAKE/train/FAKE/3100 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,dd9a4fc0f1e7401f352fef631d31546862f178f2cac8c22b958b78743eaac160,train
data/raw/CIFAKE/train/REAL/4308 (5).jpg,0,real,cifake,cifake,unknown,train,32,32,29e5ed34425c31d1fcc2aefd6edba55973fdc905958a6b9106d7ccd3aac6cdb9,train
data/raw/CIFAKE/train/FAKE/1651 (9).jpg,1,fake,cifake,cifake,unknown,train,32,32,d2e2d52324b6dadc24818370126e622ea82219bf62262a4152e2a169ea749260,train
data/raw/CIFAKE/train/FAKE/4132 (2).jpg,1,fake,cifake,cifake,unknown,train,32,32,817389f999e01c6e0649dac8265dca1c6081b6aa89337c346411b563db16d42d,train
data/raw/CIFAKE/train/FAKE/1389 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,5f341ca2911ad58b431cc8ff88a7b6f75a594f7f4f6bc4c3bffc20a8d451de42,train
data/raw/CIFAKE/train/REAL/2311 (5).jpg,0,real,cifake,cifake,unknown,train,32,32,abbdb1413556a4ecb33a2e4758ae121d21257068a37b0898d6887123410cdad1,train
data/raw/CIFAKE/train/FAKE/3885 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,178bfc1ab592985bad897602167b0336b80cf7b93b8e1a555abdec5ff2445b88,train
data/raw/CIFAKE/train/REAL/0158 (5).jpg,0,real,cifake,cifake,unknown,train,32,32,a3099d94bff7cb33e04db4e7d32abbc72b8cb67233b3fbbf8e7d3b8124ca5f0c,train
data/raw/CIFAKE/train/REAL/0780 (4).jpg,0,real,cifake,cifake,unknown,train,32,32,d16d6e9a0113a061dfca96ea81d07ba67d099dde8436c8429efb18b0f128c33e,train
data/raw/CIFAKE/train/REAL/4800 (10).jpg,0,real,cifake,cifake,unknown,train,32,32,7bda3681877730a361a0b70063566c1fcdb43a9a6ba40ffd8d52b396a896942d,train
data/raw/CIFAKE/train/REAL/3178 (6).jpg,0,real,cifake,cifake,unknown,train,32,32,4ee5164f7d7817dc9b5be670615d3f5da2adead7aac95ba74c185f4015ca5183,train
data/raw/CIFAKE/train/REAL/2486 (8).jpg,0,real,cifake,cifake,unknown,train,32,32,1824c2cd2c62eadae6080fc654ffa7177dcb59d4c299b4ea910c1790c3f30e0e,train
data/raw/CIFAKE/train/REAL/0768.jpg,0,real,cifake,cifake,unknown,train,32,32,4373b619a8fe6d5aaa26555ee14ba98b5c77c56b6a6879b9e570b6dafb4c277c,train
data/raw/CIFAKE/train/REAL/0543 (10).jpg,0,real,cifake,cifake,unknown,train,32,32,a6b40ec19cdb723b55e3c136e8687c2189b535541dba7ed89149c32f83336cf5,train
data/raw/CIFAKE/train/FAKE/3936 (5).jpg,1,fake,cifake,cifake,unknown,train,32,32,854d7f3aea6ff7099222549827389f47b89cfdd91588eacc11dcdd7b379a9bb0,train
data/raw/CIFAKE/train/REAL/3540.jpg,0,real,cifake,cifake,unknown,train,32,32,fc979b7287169959330a9b982864ca01c828d33b0d1fcc1253ab5f402c54e67b,train
data/raw/CIFAKE/train/REAL/2037 (9).jpg,0,real,cifake,cifake,unknown,train,32,32,650119959ffa66eede85e7cd4ca877dbd4a54d793f10c68dfc284dcbd88b6207,train
data/raw/CIFAKE/train/REAL/0872 (5).jpg,0,real,cifake,cifake,unknown,train,32,32,e6ab1628829ad3a58b62571ce68e50c9db9578e3339ae0de3ffbdf21b8b75cb8,train
