image_path,label,class_name,dataset,source,generator,original_split,width,height,content_hash
data/raw/CIFAKE/train/FAKE/1020 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,c75ac1b8f414b60f2da938dd12c1750383d658baa515d33961b235f416327857
data/raw/CIFAKE/train/FAKE/1038 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,9f676906be466a7c488d2ea9c45aa39fd465cde021645a6e788320836e6c8f27
data/raw/CIFAKE/train/FAKE/1040 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,fff440c8e7fa3ffa7730ef927519476e99520b2657fad060d9d75e3564753f9e
data/raw/CIFAKE/train/FAKE/1111 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,028dbaea49164b28c0f29b0801c47a7dd5ec35ede315278954458474c5179d15
data/raw/CIFAKE/train/FAKE/1121 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,2916f4abf75525b582c60ba00430e763fc6cf17cc99630cf52dfe03c1f0f21c9
data/raw/CIFAKE/train/FAKE/1125 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,017142177002c354057d277fc9edd2281e52041bacb3280c242741019431e83f
data/raw/CIFAKE/train/FAKE/1128 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,75cd25716b0c6a71b03d986ea4649f0e3ef493f12093247d30325a8681134db5
data/raw/CIFAKE/train/FAKE/1135 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,0b470c811a42022e26d32a03bf553a12b58de2264353dc72cb81825df40c00df
data/raw/CIFAKE/train/FAKE/1140 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,f08e12fb0de247b56d286472533dd22c373dc508d3ef23708346a8540a9fb9e6
data/raw/CIFAKE/train/FAKE/1144 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,1a8411206d575e412dbb954a7cfecaea9b8b0b7d8e74aa3d23fcbf46861ae467
data/raw/CIFAKE/train/FAKE/1164 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,82415a584a386bce0ab8feb0a6046c2be5dab9e9ee23b9a9db849a5cccde06d1
data/raw/CIFAKE/train/FAKE/1176 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,ebf339ceb472d7de0c6fc6af766dea9c8567f79eae388c8032252c8d5f143c39
data/raw/CIFAKE/train/FAKE/1186 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,39e400e3758f578f5d1e03d9751a6882102574048dbf3d84e3de9dc668c59dfe
data/raw/CIFAKE/train/FAKE/1202 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,686359bd35e8aabbaaa4f6122fbfb6bde817826627a2c6f4562ff281f1ea0ebd
data/raw/CIFAKE/train/FAKE/1231 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,27189c5ebf081550c1e180ce0f1d5733a71794daab89753cf950cc51d1300f33
data/raw/CIFAKE/train/FAKE/1233 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,268c5c22810475a67a84331948a1d5f5d652ccbb37f18f7960d1ea7526b44051
data/raw/CIFAKE/train/FAKE/1235 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,360ae32cd2493b1029fc9e9981a24584140c7b355e5d2c4ff4d07d89b2b3de52
data/raw/CIFAKE/train/FAKE/1243 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,3993722102f512b9da8dc269ba5b2e1c5c0f5d3fef06c3eee93c2b6e7ec7a9ac
data/raw/CIFAKE/train/FAKE/1251 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,1ec9b516ff8e6ed6f625bd516a0e96e4e06177df3b83f700f541ac64360e74fa
data/raw/CIFAKE/train/FAKE/1265 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,daa5babbd0f89bed7297d9650ae16a30e67412fa969f81185f3167c56562f758
data/raw/CIFAKE/train/FAKE/1284 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,5d814e7d0fe3a23d2695cb6d4dbaa34b3d92524d769835c41f875aaab52ae8a8
data/raw/CIFAKE/train/FAKE/1290 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,9501739f53e9f8481c99c5fdfdc8b625bfa55b38574897f35728757781042f63
data/raw/CIFAKE/train/FAKE/1294 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,0a7a9ed9930b72d65e0cd4378f45dcc86ae95de38f2fcf24ca0cc890f64754f3
data/raw/CIFAKE/train/FAKE/1308 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,70a0528ccce5d3a531206b30fe31f4a5b8dfc36a99db4ce1f453c3782b3adcd9
data/raw/CIFAKE/train/FAKE/1366 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,0dd6ba2495b15f47caf2834adbfc34f5d8477e1e085c58d1f0fd14e6f38f0fb2
data/raw/CIFAKE/train/FAKE/1380 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,3be220aed419a0c8978654fc6d6d8076ae9fb68c5a31757e815267066f22d6dc
data/raw/CIFAKE/train/FAKE/1384 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,2a4712aedcde8cfc257fb5c9294cae128ed64ebedc5aa6f67b1bb932e531ebc6
data/raw/CIFAKE/train/FAKE/1386 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,836c6bbe49060bdd91e2855d1984fa3aa77dc5c48e5df499df6196ffc23c5f11
data/raw/CIFAKE/train/FAKE/1390 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,4fd4ecd1d8f05ae8aa96ad04e70b890931f6014aaf321a4be9c6a3c7c7bae4a2
data/raw/CIFAKE/train/FAKE/1396 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,bf661427fd67f03c67de4734037abdb1969c4668e6ef56697affd5a62ea97118
data/raw/CIFAKE/train/FAKE/1397 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,2c0516ce715a0979ae136ae8556a09e2a5722533f772866948a56f7e9a4c19e5
data/raw/CIFAKE/train/FAKE/1428 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,4f38bb11d6316f61bbaee93d122e58ac70d09757ba775ea192e861f04f86b1bc
data/raw/CIFAKE/train/FAKE/1449 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,3b4e5af2431b2ef8cf112104815bfdc91e83801f97b5408f51854933f26c285f
data/raw/CIFAKE/train/FAKE/1456 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,8697e0a04d5232a55b6c2082c07654d33be8ffd70c33658309d8335dfcc41280
data/raw/CIFAKE/train/FAKE/1459 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,26ee54b92c95d773d00359cfa2cca11eb40567044ee3db281078dd00d367f871
data/raw/CIFAKE/train/FAKE/1463 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,1f9db84f36a583d70cd124b37e25bd3f1f7ca16f22428a85f09faf9a237b2678
data/raw/CIFAKE/train/FAKE/1490 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,a68ce3251d13cc9db64450f82ccf426687330f50dd17512c41ba29f1b1fa31b7
data/raw/CIFAKE/train/FAKE/1493 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,258745de05c6e69305c169306f800b837a2eddb3409d5a96649efd9928984426
data/raw/CIFAKE/train/FAKE/1521 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,471833009d244100e352e1aea957e74aed0879621a72b7cb3571cbceefe9c0a1
data/raw/CIFAKE/train/FAKE/1536 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,4fcfaa9346f5e35e8c7cbf10b36849003f44aeda16cbbed5f178c719f1d7acbd
data/raw/CIFAKE/train/FAKE/1562 (6).jpg,1,fake,cifake,cifake,unknown,train,32,32,901142b3a2ba3b8caf3922c4791762a5dd36e26d3f2f02da6ed5d7e3f98769c9
data/raw/CIFAKE/train/FAKE/1563 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,6cfe592ee61d638cb25f959f794e49e4615eb512e0ab61177aec7c65981a18d1
data/raw/CIFAKE/train/FAKE/1579 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,0f1b8215ca3ff90ed837126063dbf202c6998b0508bd1961503b24ff8d6b06c3
data/raw/CIFAKE/train/FAKE/1586 (7).jpg,1,fake,cifake,cifake,unknown,train,32,32,276d920e3c5708606016ec7e994e8cff8b8b2ef08fb510121552d8568b76bfec
data/raw/CIFAKE/train/FAKE/1588 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,fc4bb9e380f4768a119f58e4efb7bf24507a0123e955c9707418a51b9e4abe45
data/raw/CIFAKE/train/FAKE/1589 (3).jpg,1,fake,cifake,cifake,unknown,train,32,32,e7c10b43e81510dd0c82f8c884bebf97f5531c5cbf8e26c3e3732e310c4506a5
