condition_key,condition_name,corruption_type,severity,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,semantic_auroc,forensic_auroc,auroc_drop,accuracy_drop,f1_drop,auroc_retention,accuracy_retention,f1_retention,auroc_retention_pct,accuracy_retention_pct,f1_retention_pct
clean,Clean,clean,,0.98135,0.98135,0.9825563909774436,0.9801,0.9813266583229037,0.99832528,0.9983894419161228,0.0174,0.0199,9826,174,199,9801,0.99721418,0.975795485,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0
jpeg_90,JPEG 90,jpeg,90.0,0.98055,0.98055,0.982722250125565,0.9783,0.9805061388123277,0.9983007700000001,0.9983878056592234,0.0172,0.0217,9828,172,217,9783,0.9971248949999998,0.9744855499999999,2.4509999999922094e-05,0.0007999999999999119,0.0008205195105759344,0.9999754488837547,0.9991847964538647,0.9991638670939825,99.99754488837547,99.91847964538647,99.91638670939825
jpeg_70,JPEG 70,jpeg,70.0,0.98085,0.98085,0.9793639716877679,0.9824,0.9808796365633269,0.9981693100000002,0.9982089279926197,0.0207,0.0176,9793,207,176,9824,0.9970608049999999,0.975139605,0.00015596999999978323,0.0004999999999999449,0.00044702175957678225,0.999843768355741,0.9994904977836654,0.9995444720106343,99.9843768355741,99.94904977836654,99.95444720106343
jpeg_50,JPEG 50,jpeg,50.0,0.9688,0.9688,0.9671183738541251,0.9706,0.9688560590936315,0.9958209100000003,0.9958247671321772,0.033,0.0294,9670,330,294,9706,0.992702035,0.9597908549999999,0.0025043699999997004,0.01254999999999995,0.012470599229272183,0.9974914288457168,0.9872114943700006,0.98729210184651,99.74914288457168,98.72114943700005,98.729210184651
jpeg_30,JPEG 30,jpeg,30.0,0.9482,0.9482,0.9689265536723164,0.9261,0.9470293486041518,0.9909486550000001,0.9912192495672189,0.0297,0.0739,9703,297,739,9261,0.98623294,0.94757846,0.0073766249999999145,0.0331499999999999,0.03429730971875189,0.9926110004947486,0.9662200030570134,0.9650500580740705,99.26110004947486,96.62200030570133,96.50500580740704
blur_0_5,Blur σ=0.5,blur,0.5,0.9671,0.9671,0.9898280201342282,0.9439,0.9663185913185913,0.9973003800000001,0.997460648485186,0.0097,0.0561,9903,97,561,9439,0.995670005,0.968609585,0.0010248999999998842,0.014249999999999985,0.015008067004312342,0.9989733807001262,0.9854791868344628,0.984706349433163,99.89733807001262,98.54791868344628,98.4706349433163
blur_1,Blur σ=1.0,blur,1.0,0.95495,0.95495,0.9585727245237375,0.951,0.9547713468199388,0.9912173699999999,0.991374820879794,0.0411,0.049,9589,411,490,9510,0.98867467,0.906930885,0.007107910000000106,0.02639999999999998,0.026555311502964862,0.992880166272059,0.973098282977531,0.9729393762232567,99.2880166272059,97.3098282977531,97.29393762232567
blur_2,Blur σ=2.0,blur,2.0,0.9109,0.9109,0.9108178364327134,0.911,0.9109089091090891,0.9714743249999999,0.9721469839684982,0.0892,0.089,9108,892,890,9110,0.9655027049999999,0.8596758950000001,0.02685095500000012,0.0704499999999999,0.0704177492138146,0.9731040017337835,0.9282111377184492,0.9282422946359582,97.31040017337835,92.82111377184492,92.82422946359581
resize_0_5,Resize ×0.5,resize,0.5,0.9522,0.9521999999999999,0.9495923642871347,0.9551,0.9523382191644232,0.990521255,0.9906407261605301,0.0507,0.0449,9493,507,449,9551,0.9877219050000001,0.903666595,0.007804024999999992,0.029149999999999898,0.028988439158480483,0.9921828835186864,0.9702960207876905,0.9704599493831931,99.21828835186865,97.02960207876905,97.04599493831931
resize_0_25,Resize ×0.25,resize,0.25,0.89855,0.89855,0.893785199090999,0.9046,0.8991600815068833,0.9649343499999999,0.9660734322851747,0.1075,0.0954,8925,1075,954,9046,0.958850175,0.8470331349999999,0.03339093000000004,0.08279999999999998,0.08216657681602035,0.9665530557334979,0.9156264329749835,0.916269902464034,96.65530557334979,91.56264329749834,91.6269902464034
