condition_key,condition_name,corruption_type,severity,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,semantic_auroc,forensic_auroc,auroc_drop,accuracy_drop,f1_drop,auroc_retention,accuracy_retention,f1_retention,auroc_retention_pct,accuracy_retention_pct,f1_retention_pct
clean,Clean,clean,,0.9785,0.9784999999999999,0.9715214820654317,0.9859,0.9786579313083185,0.998007235,0.9980743919831445,0.0289,0.0141,9711,289,141,9859,0.9971422700000001,0.95393685,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0
jpeg_90,JPEG 90,jpeg,90.0,0.97795,0.97795,0.971490579066785,0.9848,0.9781000148979491,0.9979399299999999,0.9980557237739321,0.0289,0.0152,9711,289,152,9848,0.9969853049999999,0.953345715,6.7305000000073e-05,0.0005500000000000504,0.0005579164103693968,0.9999325606091422,0.9994379151762902,0.9994299168355755,99.99325606091422,99.94379151762902,99.94299168355755
jpeg_70,JPEG 70,jpeg,70.0,0.977,0.9770000000000001,0.9679223072395526,0.9867,0.9772209567198178,0.99792568,0.9979580176973709,0.0327,0.0133,9673,327,133,9867,0.9970078750000001,0.954469265,8.155499999995541e-05,0.0015000000000000568,0.0014369745885006724,0.9999182821555397,0.9984670413898824,0.9985316886089304,99.99182821555397,99.84670413898824,99.85316886089304
jpeg_50,JPEG 50,jpeg,50.0,0.9634,0.9634,0.9495537446643384,0.9788,0.9639550915895214,0.9948586299999999,0.9948540038213312,0.052,0.0212,9480,520,212,9788,0.992237195,0.9445854650000001,0.0031486050000001375,0.015100000000000002,0.014702839718797045,0.9968451080417267,0.9845682166581502,0.9849765283165471,99.68451080417266,98.45682166581501,98.49765283165472
jpeg_30,JPEG 30,jpeg,30.0,0.9474,0.9474,0.9387134732300451,0.9573,0.9479156352114071,0.9894363649999999,0.9896116436787609,0.0625,0.0427,9375,625,427,9573,0.98548753,0.9316835350000001,0.00857087000000012,0.031100000000000017,0.03074229609691137,0.9914120161663957,0.96821665815023,0.9685872917252982,99.14120161663958,96.821665815023,96.85872917252982
blur_0_5,Blur σ=0.5,blur,0.5,0.9715,0.9715,0.9839868610141654,0.9586,0.9711275453348192,0.99683443,0.9969725177553621,0.0156,0.0414,9844,156,414,9586,0.995587545,0.94629466,0.0011728049999999435,0.007000000000000006,0.0075303859734993095,0.9988248532086043,0.9928461931527849,0.9923053952432263,99.88248532086043,99.28461931527849,99.23053952432262
blur_1,Blur σ=1.0,blur,1.0,0.9541,0.9541,0.9541,0.9541,0.9541,0.9907681050000001,0.9909248818634427,0.0459,0.0459,9541,459,459,9541,0.9883961449999998,0.89762994,0.0072391299999998715,0.02440000000000009,0.024557931308318515,0.9927464153103059,0.9750638732754214,0.9749065219596307,99.2746415310306,97.50638732754214,97.49065219596307
blur_2,Blur σ=2.0,blur,2.0,0.9071,0.9071,0.9109630526953362,0.9024,0.906661308148297,0.9696414800000002,0.9706919701648216,0.0882,0.0976,9118,882,976,9024,0.965204435,0.8389416999999999,0.028365754999999826,0.07140000000000002,0.07199662316002142,0.9715776058477174,0.9270311701584057,0.9264333115210411,97.15776058477174,92.70311701584058,92.64333115210411
resize_0_5,Resize ×0.5,resize,0.5,0.9498,0.9498,0.937208398133748,0.9642,0.95051261829653,0.989899105,0.9899346934595314,0.0646,0.0358,9354,646,358,9642,0.9873454999999999,0.895803425,0.008108129999999991,0.02870000000000006,0.028145313011788464,0.9918756801397337,0.9706693919264179,0.9712409084815137,99.18756801397338,97.06693919264178,97.12409084815137
resize_0_25,Resize ×0.25,resize,0.25,0.8957,0.8956999999999999,0.8892386385992525,0.904,0.8965585639194684,0.9632067449999998,0.9644204099880033,0.1126,0.096,8874,1126,960,9040,0.95853645,0.8267922450000001,0.034800490000000184,0.08279999999999998,0.08209936738885004,0.9651300223289462,0.9153806847215126,0.9161102518434653,96.51300223289462,91.53806847215125,91.61102518434653
noise_0_02,Noise σ=0.02,noise,0.02,0.96895,0.96895,0.9649975210708974,0.9732,0.9690814040328604,0.9960100150000001,0.9960774933223356,0.0353,0.0268,9647,353,268,9732,0.9937019699999999,0.948391725,0.0019972199999999107,0.009550000000000058,0.009576527275458102,0.9979987920628652,0.990240163515585,0.9902146327443996,99.79987920628652,99.0240163515585,99.02146327443995
noise_0_05,Noise σ=0.05,noise,0.05,0.9629,0.9629,0.9546258102533883,0.972,0.9632345654543653,0.9940538999999999,0.9942746340852788,0.0462,0.028,9538,462,280,9720,0.9926057049999999,0.923416975,0.003953335000000058,0.015600000000000058,0.015423365853953208,0.9960387712018941,0.9840572304547777,0.9842402893181129,99.60387712018941,98.40572304547777,98.42402893181129
noise_0_10,Noise σ=0.10,noise,0.1,0.93045,0.93045,0.9161751909504012,0.9476,0.9316226711891068,0.9832581300000001,0.9843413561132867,0.0867,0.0524,9133,867,524,9476,0.9804785399999999,0.8645081,0.014749104999999929,0.04805000000000004,0.047035260119211664,0.9852214448124718,0.9508942258559019,0.9519390191255768,98.52214448124718,95.08942258559019,95.19390191255768
color_20,Color Jitter ±20%,color_jitter,0.2,0.9724,0.9723999999999999,0.9617790811339199,0.9839,0.9727137913989125,0.996987225,0.9971121369315046,0.0391,0.0161,9609,391,161,9839,0.99569902,0.9473235899999999,0.0010200099999999601,0.006099999999999994,0.00594413990940601,0.9989779533011102,0.9937659683188554,0.9939262333454351,99.89779533011102,99.37659683188555,99.3926233345435
crop_80,Center Crop 80%,crop,0.8,0.9629,0.9629000000000001,0.9614234449760766,0.9645,0.9629592651757188,0.9938712700000001,0.994103851061422,0.0387,0.0355,9613,387,355,9645,0.99180383,0.923575635,0.004135964999999908,0.015600000000000058,0.015698666132599626,0.9958557765365299,0.9840572304547777,0.9839589854326191,99.58557765365299,98.40572304547777,98.39589854326191
