condition_key,condition_name,corruption_type,severity,loss,accuracy,balanced_accuracy,precision,recall,f1,auroc,average_precision,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,auroc_drop,accuracy_drop,f1_drop,auroc_retention,accuracy_retention,f1_retention,auroc_retention_pct,accuracy_retention_pct,f1_retention_pct
clean,Clean,clean,,0.06985573856998235,0.9745,0.9744999999999999,0.9722332802547771,0.9769,0.974561053471668,0.99687684,0.9967770282755953,0.0279,0.0231,9721,279,231,9769,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0
jpeg_90,JPEG 90,jpeg,90.0,0.07158717752806842,0.97355,0.97355,0.9725576289791438,0.9746,0.973577743369462,0.99669867,0.9966521800881416,0.0275,0.0254,9725,275,254,9746,0.0001781699999999775,0.0009500000000000064,0.000983310102205981,0.9998212718032451,0.999025141097999,0.9989910225750319,99.98212718032451,99.9025141097999,99.89910225750319
jpeg_70,JPEG 70,jpeg,70.0,0.0715701820557937,0.9742,0.9742,0.9708101667990469,0.9778,0.974292546831407,0.996751205,0.9966048476117974,0.0294,0.0222,9706,294,222,9778,0.0001256349999999573,0.000300000000000078,0.00026850664026101256,0.9998739713924942,0.9996921498204207,0.9997244845365978,99.98739713924942,99.96921498204206,99.97244845365978
jpeg_50,JPEG 50,jpeg,50.0,0.1160374979145825,0.9555,0.9555,0.9549540551338394,0.9561,0.9555266839896063,0.991734545,0.9916817303375203,0.0451,0.0439,9549,451,439,9561,0.005142294999999963,0.019000000000000017,0.01903436948206172,0.9948415944741981,0.9805028219599795,0.9804687767746764,99.48415944741981,98.05028219599795,98.04687767746763
jpeg_30,JPEG 30,jpeg,30.0,0.16258146924227476,0.93675,0.93675,0.937844611528822,0.9355,0.9366708385481852,0.983990045,0.9844273049318477,0.062,0.0645,9380,620,645,9355,0.012886795000000006,0.03775000000000006,0.03789021492348277,0.9870728313840654,0.961262185736275,0.9611207375992434,98.70728313840654,96.1262185736275,96.11207375992434
blur_0_5,Blur σ=0.5,blur,0.5,0.10363356704562902,0.9596,0.9596,0.9844013490725126,0.934,0.9585385878489326,0.995071405,0.9950772414958209,0.0148,0.066,9852,148,660,9340,0.0018054349999999664,0.014900000000000024,0.01602246562273535,0.9981889086720082,0.9847101077475628,0.9835593002966221,99.81889086720082,98.47101077475628,98.3559300296622
blur_1,Blur σ=1.0,blur,1.0,0.15063947137147188,0.94325,0.9432499999999999,0.9382105783489867,0.949,0.9435744469301516,0.9867600400000001,0.986554144027991,0.0625,0.051,9375,625,510,9490,0.010116799999999926,0.03125,0.030986606541516415,0.9898515046251852,0.9679322729604926,0.9682045507245204,98.98515046251852,96.79322729604925,96.82045507245203
blur_2,Blur σ=2.0,blur,2.0,0.2599442868590355,0.8942,0.8942,0.8909938504265027,0.8983,0.8946320087640673,0.961659375,0.9627958611231011,0.1099,0.1017,8901,1099,1017,8983,0.035217465,0.08030000000000004,0.07992904470760065,0.9646722006301199,0.9175987685992817,0.9179845691320515,96.467220063012,91.75987685992817,91.79845691320516
resize_0_5,Resize ×0.5,resize,0.5,0.1625487515628338,0.93905,0.9390499999999999,0.9252300242130751,0.9553,0.9400246002460024,0.985626855,0.9856747742452795,0.0772,0.0447,9228,772,447,9553,0.011249984999999962,0.03544999999999998,0.034536453225665564,0.9887147694192595,0.9636223704463828,0.9645620424675942,98.87147694192595,96.36223704463828,96.45620424675943
resize_0_25,Resize ×0.25,resize,0.25,0.28202999703884124,0.88445,0.88445,0.8821190736507305,0.8875,0.884801355864613,0.9547961150000001,0.9560854651710192,0.1186,0.1125,8814,1186,1125,8875,0.04208072499999993,0.09005000000000007,0.08975969760705504,0.9577874384161639,0.9075936377629553,0.9078973069082691,95.77874384161639,90.75936377629553,90.78973069082691
